"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 25 21:10:37 ART 2023","Thu May 25 21:10:37 ART 2023","711","","E-commerce App","","","","should be sorted by Name A -> Z by default, test Name Z -> A sort ",""
"passed","Thu May 25 21:10:37 ART 2023","Thu May 25 21:10:37 ART 2023","7","","API Test","","","","should retrieve objects with Category ""Authentication & Authorization""",""
